DateTime,AddedIPs,RemovedIPs
1591039504,49,0
1591040660,11,3
1591041005,69,106
1591042568,11,16
1591042878,78,53
1591043994,94,88
1591044729,12,19
1591045247,39,95
1591046646,17,15
1591047011,572,0
1591047243,20,66
1591048574,7,8
1591048859,36,96
1591050489,14,6
1591050611,288,259
1591050843,25,84
1591052412,226,0
1591052458,63,77
1591054338,56,6
1591055407,64,91
1591056249,8,13
1591057204,60,52
1591058171,45,97
1591060101,80,105
1591061104,67,0
1591062008,5,9
1591062604,63,131
1591063925,6,6
1591064090,51,60
1591065859,13,7
1591066849,91,187
1591067769,7,12
1591068612,55,1
1591069686,16,8
1591069805,172,125
1591071615,8,17
1591071787,94,47
1591072445,23,43
1591073526,9,6
1591074052,54,92
1591075444,10,9
1591075812,82,5
1591076043,25,80
1591077374,14,13
1591077608,0,17671
1591079283,41,36
1591079412,17733,0
1591079643,21,48
1591081278,13,13
1591083139,159,69
1591084175,65,88
1591085050,15,12
1591085857,56,68
1591086971,76,63
1591088909,90,116
1591089905,67,4
1591090807,10,15
1591091923,104,127
1591092731,16,428
1591094044,220,64
1591094658,14,12
1591095653,54,78
1591096571,236,0
1591097104,85,0
1591097648,30,65
1591098487,13,3
1591099411,58,1861
1591100412,24,17
1591101245,83,74
1591102330,12,6
1591102824,0,18907
1591104256,41,40
1591106166,18950,10
1591107035,40,98
1591108085,11,10
1591108212,1266,256
1591110017,66,79
1591111504,139,121
1591111925,10,11
1591113004,54,99
1591113847,13,9
1591115779,11,520
1591116605,146,144
1591117699,8,11
1591119611,123,82
1591120205,147,126
1591121541,7,14
1591123451,198,156
1591125366,17,11
1591125904,116,83
1591126444,44,64
1591127295,12,5
1591128012,170,59
1591129204,7,9
1591131132,224,168
1591133061,82,66
1591133643,65,50
1591134966,9,10
1591135207,117,83
1591136607,88,3
1591136885,6,9
1591137244,40,73
1591138824,187,0
1591138851,143,62
1591140732,74,2
1591140843,24,62
1591142662,11,6
1591144577,82,57
1591145406,303,151
1591146489,8,8
1591146587,120,57
1591148406,9,7
1591149646,139,148
1591150337,13,10
1591151080,90,0
1591151643,23,104
1591152248,16,4
1591153255,79,116
1591154166,8,7
1591154705,67,8
1591155243,40,102
1591156096,8,10
1591156843,104,80
1591158009,9,8
1591158844,84,56
1591159929,10,6
1591160143,63,59
1591161856,6,7
1591161904,72,53
1591162211,763,0
1591162443,23,61
1591163764,11,15
1591164049,98,158
1591166006,104,11
1591167118,88,93
1591167849,7,9
1591169775,12,6
1591171694,165,145
1591172186,58,54
1591173244,75,74
1591173607,14,9
1591175025,94,75
1591175536,8,6
1591176843,72,69
1591177445,10,9
1591178410,123,86
1591179604,13,525
1591180444,116,73
1591181527,25,13
1591182047,71,74
1591183455,243,0
1591183504,130,1
1591184043,23,73
1591185364,11,8
1591185646,77,76
1591187537,142,20
1591187644,32,64
1591189450,38,6
1591190647,166,93
1591191406,44,1
1591191911,792,1433
1591193295,84,251
1591194308,113,330
1591195204,16,4
1591195974,94,514
1591197385,15,10
1591197904,73,308
1591198443,17,385
1591199284,19,14
1591199783,63,135
1591201273,14,7
1591201505,82,285
1591202627,94,558
1591203134,8,7
1591205043,1,6
1591205104,161,253
1591205645,30,67
1591206963,10,11
1591207209,105,77
1591207214,766,509
1591208882,13,7
1591210812,163,119
1591212737,9,16
1591212843,102,157
1591214902,579,14
1591215312,254,0
1591215720,253,93
1591216807,14,24
1591217080,248,83
1591218723,9,18
1591219504,498,40
1591220662,133,61
1591221519,355,76
1591222563,13,18
1591222716,244,2
1591223645,212,58
1591224488,9,8
1591225213,0,19392
1591226405,1190,0
1591226704,18813,0
1591227243,30,60
1591228331,9,8
1591228846,87,89
1591230256,9,6
1591230611,246,1
1591230844,45,73
1591232172,14,9
1591232448,147,85
1591234094,2,2
1591234443,152,66
1591236013,11,6
1591237504,164,60
1591237938,11,2
1591238044,35,83
1591239855,6,12
1591241105,182,194
1591241778,13,12
1591243695,121,78
1591243978,74,61
1591245604,7,6
1591246851,192,202
1591247538,11,8
1591248168,74,1
1591249447,8,8
1591251370,168,175
1591252532,63,52
1591253293,6,7
1591253978,47,98
1591255207,9,20
1591255506,33,5
1591256043,18,60
1591257124,7,11
1591257141,57,1
1591259061,9,28
1591259104,65,88
1591260966,2005,11
1591262891,138,192
1591264833,87,590
1591266731,7,11
1591266843,88,235
1591268656,234,0
1591269905,641,71
1591270825,10,11
1591271407,55,71
1591272727,12,11
1591273232,146,89
1591274044,31,47
1591274647,13,7
1591275645,0,19912
1591276565,79,52
1591276846,19971,0
1591277643,33,64
1591278487,13,12
1591278787,69,2
1591280415,16,9
1591280708,76,101
1591281012,256,1262
1591281243,14,63
1591282329,12,7
1591282806,106,50
1591284251,22,8
1591284612,55,2
1591284843,46,89
1591286176,6,8
1591286455,103,93
1591288082,14,9
1591288443,80,95
1591290012,5,6
1591291503,134,147
1591292001,523,12
1591292043,23,95
1591293851,10,12
1591295104,168,102
1591295766,5,9
1591297704,145,265
1591298342,46,1
1591299244,33,108
1591299606,7,10
1591300861,0,19703
1591301526,67,49
1591302612,19730,254
1591303461,25,100
1591304459,93,130
1591305367,10,13
1591305897,63,3
1591306444,11,80
1591307283,9,12
1591308006,81,143
1591309217,8,13
1591309503,55,7
1591311127,7,15
1591313100,277,136
1591313891,368,43
1591314976,6,7
1591316886,105,189
1591318823,202,390
1591320741,5,7
1591320845,100,138
1591322911,79,111
1591324211,558,4
1591324808,3,8
1591325407,94,123
1591326733,7,8
1591328043,115,159
1591328657,6,8
1591329650,92,70
1591330565,9,9
1591331070,52,0
1591332492,12,5
1591332605,82,142
1591334416,11,10
1591336325,51,62
1591338254,112,195
1591338939,40,60
1591340177,8,11
1591340455,39,83
1591342347,68,10
1591342445,16,77
1591344248,8,11
1591345353,138,121
1591346167,12,13
1591348110,99,195
1591348996,92,0
1591350008,36,85
1591351252,57,73
1591351930,16,611
1591352703,42,4
1591353860,34,145
1591354851,68,76
1591355775,265,0
1591356303,52,0
1591356844,20,119
1591357687,37,10
1591358406,85,93
1591359615,24,9
1591361529,118,105
1591362007,34,85
1591363446,28,11
1591364044,68,105
1591365376,18,13
1591365647,75,95
1591367284,20,4
1591369217,142,118
1591371140,274,2507
1591371244,87,116
1591373051,10,7
1591374304,101,123
1591374966,27,8
1591375414,53,178
1591376898,8,8
1591378211,94,311
1591378806,16,11
1591380004,66,158
1591380725,12,12
1591381811,314,2
1591382658,13,6
1591384567,65,152
1591385412,121,332
1591385643,18,76
1591386484,13,10
1591386772,41,23
1591388415,16,10
1591389244,128,238
1591390326,24,23
1591390801,77,143
1591392248,12,6
1591392305,59,10
1591393115,0,255
1591394175,12,16
1591396084,120,145
1591396444,87,190
1591398079,213,0
1591399943,111,109
1591400043,26,272
1591401850,11,6
1591403026,92,148
1591403770,20,11
1591405700,110,247
1591406703,99,10
1591407610,46,64
1591408803,61,116
1591409528,14,6
1591410305,66,12
1591411461,9,261
1591411476,52,96
1591413366,5,12
1591415291,107,248
1591416047,53,131
1591417279,4,8
1591417506,46,0
1591418043,29,108
1591419382,6,7
1591419650,50,122
1591421289,9,11
1591423224,112,1372
1591425206,9,12
1591425243,179,111
1591427055,8,7
1591428122,69,91
1591428976,10,15
1591430928,171,92
1591431903,157,68
1591432804,11,16
1591433252,71,116
1591434735,9,19
1591435327,132,51
1591436647,10,15
1591437119,117,92
1591438805,18,538
1591439643,80,143
1591440726,15,21
1591440794,37,21
1591442653,271,0
1591442703,78,52
1591443243,16,109
1591444563,17,4
1591444800,29,123
1591446483,9,7
1591448427,102,144
1591448948,30,97
1591450334,10,4
1591452254,109,130
1591452945,46,72
1591454177,9,6
1591454441,61,86
1591456088,8,12
1591456861,106,120
1591457643,29,75
1591458006,19,8
1591459944,17,6
1591460704,93,98
1591461849,41,100
1591462799,31,247
1591463763,15,8
1591464304,33,35
1591464844,25,524
1591465696,12,9
1591466442,88,410
1591467605,13,10
1591467904,82,0
1591468443,22,372
1591469530,14,7
1591469942,76,398
1591471458,1034,266
1591472042,100,466
1591473362,23,7
1591473660,69,471
1591475284,15,17
1591475411,577,511
1591475644,18,310
1591477221,15,13
1591477251,61,87
1591479130,73,33
1591479244,33,62
1591481046,20,20
1591482304,128,101
1591482978,10,19
1591484890,327,200
1591485904,50,4
1591486805,8,6
1591488739,17,60
1591489505,85,120
1591490647,49,128
1591490711,512,0
1591492564,75,43
1591494494,49,84
1591495197,59,119
1591496404,13,10
1591496704,38,13
1591497243,15,77
1591498330,11,9
1591498858,47,140
1591500262,12,12
1591500307,49,0
1591502167,10,7
1591504083,46,117
1591504456,90,125
1591506027,9,14
1591507260,49,48
1591508006,60,16
1591508044,15,55
1591510098,56,41
1591510722,44,36
1591512005,7,7
1591512267,42,98
1591513938,16,12
1591515246,78,171
1591515845,6,8
1591516801,195,98
1591517765,8,16
1591518303,89,8
1591518846,30,122
1591519697,6,15
1591520424,0,12760
1591521605,49,58
1591521904,12824,0
1591522444,36,59
1591523524,11,25
1591524049,52,92
1591525460,7,803
