DateTime,AddedIPs,RemovedIPs
1591132837,50,492
1591134751,48,626
1591136670,37,180
1591138574,36,45
1591140744,57,47
1591142696,29,57
1591144603,47,52
1591146504,41,42
1591148419,42,41
1591150354,54,39
1591152288,47,50
1591154181,41,49
1591156111,43,47
1591158058,42,50
1591159960,32,54
1591161874,54,42
1591163797,45,55
1591166024,45,320
1591167874,333,621
1591169792,42,517
1591171715,41,447
1591173624,43,512
1591175552,40,486
1591177460,39,713
1591179624,56,583
1591181557,101,54
1591183525,105,67
1591185432,40,61
1591187554,43,94
1591189531,41,46
1591191447,46,1010
1591193310,51,2056
1591195234,59,2846
1591197061,73,1974
1591199054,58,2141
1591201290,93,1888
1591203154,87,1445
1591205061,94,1566
1591206988,68,456
1591208896,61,66
1591211085,93,91
1591212981,99,96
1591214917,95,60
1591216829,70,64
1591218748,565,96
1591220677,76,92
1591222576,85,75
1591224503,107,73
1591226418,85,86
1591228350,86,93
1591230320,77,66
1591232186,88,70
1591234112,86,69
1591236207,76,64
1591238188,72,101
1591240366,85,104
1591242264,70,89
1591244176,71,91
1591246112,103,76
1591248026,66,100
1591249937,84,89
1591251872,51,79
1591253779,75,84
1591255698,93,86
1591257787,87,82
1591259785,85,79
1591261961,80,79
1591263857,83,71
1591266026,89,108
1591267961,92,149
1591269880,64,142
1591271801,64,58
1591273708,80,74
1591275856,80,72
1591277778,127,80
1591279711,55,80
1591281613,63,88
1591283532,56,79
1591285468,69,99
1591287380,79,106
1591289298,63,95
1591291230,70,113
1591293135,53,77
1591295056,55,75
1591296992,83,105
1591298892,83,85
1591301074,103,110
1591302972,104,77
1591304920,101,628
1591306820,191,378
1591308732,83,109
1591310668,84,106
1591312581,92,91
1591314490,111,90
1591316424,80,79
1591318336,94,101
1591320252,91,86
1591322186,74,88
1591324096,96,82
1591326180,81,94
1591328171,97,89
1591330104,76,85
1591332012,73,89
1591334175,94,106
1591336094,88,88
1591338030,72,82
1591339937,105,81
1591341927,104,89
1591343825,75,98
1591345692,83,94
1591347770,79,105
1591349775,63,92
1591351728,76,98
1591353619,74,94
1591355529,72,92
1591357470,84,67
1591359378,90,73
1591361292,87,97
1591363254,73,125
1591365135,70,75
1591367053,64,78
1591368984,89,68
1591370892,79,79
1591373769,127,123
1591375689,84,90
1591377628,92,59
1591379572,86,72
1591381451,71,61
1591383380,86,62
1591385290,116,77
1591388169,130,97
1591390096,81,86
1591392048,86,91
1591393933,81,204
1591395853,65,76
1591397790,101,92
1591399700,99,105
1591401701,86,94
1591403548,78,92
1591405380,98,81
1591407391,151,88
1591409307,82,84
1591411214,115,91
1591413134,152,101
1591415063,99,92
1591416973,82,81
1591418988,85,77
1591420827,92,88
1591422730,183,91
1591424658,79,69
1591426636,189,145
1591428740,108,111
1591430662,98,93
1591432588,72,74
1591434514,134,91
1591436415,102,76
1591438350,56,76
1591440257,78,77
1591442174,93,80
1591444105,87,85
1591446042,83,90
1591447937,77,81
1591449870,77,87
1591451777,67,68
1591453695,70,84
1591455772,74,84
1591457785,87,88
1591459975,86,95
1591461859,96,80
1591463775,86,95
1591465709,64,84
1591467617,68,76
1591469539,73,79
1591471469,74,97
1591473384,116,84
1591475297,190,77
1591478416,1912,112
1591480339,1517,86
1591482265,1308,61
1591484195,1393,53
1591486192,1235,62
1591488187,510,52
1591490187,63,64
1591492091,43,46
1591494016,50,67
1591495946,40,49
1591497872,42,81
1591499775,48,109
1591501711,43,59
1591503616,36,36
1591505534,40,48
1591507467,25,68
1591509388,40,33
1591511297,30,34
1591513284,41,167
1591515133,42,64
1591517314,40,48
1591519210,36,48
1591521148,38,106
1591523052,42,68
1591524975,42,30
