DateTime,AddedIPs,RemovedIPs
1591393922,80,80
1591394521,80,80
1591395121,80,80
1591396321,80,80
1591396921,80,80
1591398121,80,80
1591399321,80,80
1591399921,76,76
1591400522,80,80
1591401722,80,80
1591402921,80,80
1591404121,80,80
1591405322,80,80
1591406522,78,78
1591407721,80,80
1591408921,80,80
1591410122,80,80
1591411321,80,80
1591412522,78,78
1591413721,78,78
1591414321,80,80
1591414921,80,80
1591416121,80,80
1591417321,79,79
1591418521,78,78
1591419122,80,80
1591419721,80,80
1591420321,80,80
1591420921,80,80
1591422121,80,80
1591423321,80,80
1591424521,80,80
1591425722,22,22
1591426922,79,79
1591428121,80,80
1591428721,80,80
1591429921,80,80
1591430522,80,80
1591431721,78,78
1591432321,80,80
1591432921,80,80
1591434121,79,79
1591434721,80,80
1591435321,80,80
1591436521,79,79
1591437721,78,78
1591438321,80,80
1591439521,80,80
1591440121,80,80
1591441321,79,79
1591441921,80,80
1591443121,80,80
1591443721,80,80
1591444321,80,80
1591445521,80,80
1591446121,80,80
1591447322,80,80
1591447921,80,80
1591448521,80,80
1591449721,79,79
1591450321,80,80
1591450922,80,80
1591452121,78,78
1591453321,77,77
1591454522,80,80
1591455122,80,80
1591455721,80,80
1591456921,80,80
1591457522,78,78
1591458121,80,80
1591458721,78,78
1591459321,64,64
1591459921,80,80
1591460522,80,80
1591461721,80,80
1591462321,80,80
1591462921,77,77
1591464121,80,80
1591464722,80,80
1591465321,79,79
1591466521,78,78
1591467122,78,78
1591467721,77,77
1591468321,77,77
1591468921,80,80
1591469521,80,80
1591470122,17,17
1591471321,80,80
1591471921,79,79
1591472521,79,79
1591473121,80,80
1591473721,80,80
1591474922,79,79
1591476121,80,80
1591476721,80,80
1591477322,80,80
1591478522,80,80
1591479121,80,80
1591479721,80,80
1591480921,80,80
1591481521,62,62
1591482121,71,71
1591483322,80,80
1591484521,80,80
1591485721,80,80
1591486321,80,80
1591486922,80,80
1591488121,80,80
1591489321,80,80
1591490521,80,80
1591491721,80,80
1591492921,80,80
1591494121,80,80
1591495321,80,80
1591496521,80,80
1591497121,80,80
1591498321,80,80
1591498922,80,80
1591500122,80,80
1591500721,80,80
1591501321,80,80
1591502521,79,79
1591503721,78,78
1591504921,80,80
1591506121,80,80
1591507321,80,80
1591507921,80,80
1591508521,80,80
1591509721,80,80
1591510921,78,78
1591512122,80,80
1591512721,79,79
1591513922,80,80
1591514521,80,80
1591515721,80,80
1591516921,80,80
1591518121,76,76
1591518721,80,80
1591519921,78,78
1591520521,79,79
1591521722,80,80
1591522321,80,80
1591522921,80,80
1591523521,30,30
1591524121,80,80
1591524721,80,80
1591525321,77,77
